Name,Affiliation,h-index,i10-index,Citations,College/Company,Research Interest 1,Research Interest 2
"Dr. Narendra Nath Ghosh, FRSC","Professor, Dept of Chemistry, BITS Pilani, KK Birla Goa Campus",39,103,6988,BITS Pilani,Materials Chemistry,Nanotechnology
rakesh pandey,"Professor in Physics, K M College, Delhi University",4,2,70,Delhi University,Condensed Matter Physics,Quantum Mechanics
Dr. K. N. Das,"Professor of Soil Science, Assam agricultural University",11,14,394,Assam Agricultural University,Soil Science,Agricultural Research
K N Rai,"Institute Professor, IIT BHU Varanasi India",29,69,2626,IIT BHU Varanasi,Thermal Engineering,Heat Transfer
Prof. Kalyan Kumar Das,Jadavpur University,31,125,5821,Jadavpur University,Condensed Matter Physics,Materials Science
Kalyanmoy Deb,"University Distinguished Professor, Electrical and Computer Engineering, Michigan State University",145,647,216104,Michigan State University,Evolutionary Computation,Multi-objective Optimization
Karabi Biswas,"Professor, Indian Institute of Technology Kharagpur",29,56,3149,Indian Institute of Technology Kharagpur,Power Electronics,Renewable Energy Systems
Kaustubha Mohanty,"Professor and Head of Chemical Engineering, IIT Guwahati",59,172,11249,Indian Institute of Technology Guwahati,Chemical Engineering,Process Systems Engineering
Krishan Kumar,Student at Carleton University,109,1023,67818,Carleton University,Artificial Intelligence,Data Science
Kuldeep Kumar Sharma,ICAR-IIMR,47,269,10032,ICAR-IIMR,Maize Breeding,Abiotic Stress Tolerance
Kunal Pal,National Institute of Technology Rourkela,56,193,11305,National Institute of Technology Rourkela,Biomedical Engineering,Signal Processing
Lalit Mohan Patnaik,"Adjunct Professor and NASI(National Academy of Sciences India)Senior Scientist, NIAS,Bangalore,India",42,204,16771,National Institute of Advanced Studies (NIAS),Evolutionary Computation,Neural Networks
M.K. Walz,Professor der Medizin,65,165,16968,Universität Witten/Herdecke,Endocrine Surgery,Minimally Invasive Surgery
Mrinal K. Ghose,"Professor of Environmental Science & Engineering, Indian School of Mines, Dhanbad",43,124,6586,Indian School of Mines,Dhanbad,Environmental Science
Manoj Kumar Tiwari,"Director, Indian Institute of Management Mumbai,India &Prof.of ISE,IIT KGP",89,336,35395,Indian Institute of Management Mumbai,Supply Chain Management,Operations Research
Rajeshwar Malavath,Professor Jayashankar Telangana State Agricultural University,10,10,280,Professor Jayashankar Telangana State Agricultural University,Agricultural Biotechnology,Plant Genetics
Madhumita Chakraborty,iim lucknow,16,18,766,Indian Institute of Management Lucknow,Operations Management,Supply Chain Management
Manas Chatterjee,"Professor and Head, Department of Dermatology, Command Hospital (Eastern Command), Kolkata 700027",22,38,1682,Command Hospital (Eastern Command),Dermatology,Skin Disorders
Mrinal K. Ghose,"Professor of Environmental Science & Engineering, Indian School of Mines, Dhanbad",43,124,6586,Indian School of Mines,Environmental Science,Environmental Engineering
Mrinal Kanti Naskar,"Professor, Jadavpur University",20,67,1987,Jadavpur University,Wireless Communication,Signal Processing
Narottam K Das,"Senior Lecturer, Central Queensland University, Melbourne Campus, Australia",27,85,2741,Central Queensland University,Information Systems,Cybersecurity
Nand K Roy,"Postdoctoral Fellow, Centre for Cancer Immunotherapy, La Jolla Institute for Immunology",23,30,3190,La Jolla Institute for Immunology,Cancer Immunotherapy,T Cell Biology
Narendra Nath Dutta,"Assistant Professor, VIT-AP University, India",12,12,271,VIT-AP University,Machine Learning,Data Science
NILOTPAL MRINAL,"Student Of B.tech Final Year At BCET,Durgapur",2,0,10,BCET Durgapur,Artificial Intelligence,Data Science
Partha Sarkar,Adj. Prof. of University of Alberta,39,86,8479,University of Alberta,Wind Engineering,Structural Dynamics
Pijush Ghosh,"Professor, Department of Applied Mechanics & Biomedical Engg, Indian Institute of Technology Madras",20,33,1476,Indian Institute of Technology Madras,Biomechanics,Biomedical Engineering
Dr PK Banerjee,"Outstanding Scientist & Outstanding Professor (AcSIR), CSIR-CIMFR Dhanbad and Ex-CTO, HINDALCO",25,50,2035,CSIR-CIMFR Dhanbad,Mineral Processing,Environmental Sustainability
"Prantik Kundu, PhD","Ceretype Neuromedicine Inc., Mount Sinai School of Medicine, Brigham and Womens Hospital, HMS",42,55,6426,Ceretype Neuromedicine Inc.,Neuroscience,Neuroimaging
Amit Singal,University of Texas Southwestern Medical Center,94,338,36414,University of Texas Southwestern Medical Center,Hepatology,Liver Cancer
AMITABH GUPTA,"Associate Professor, Dept. of Financial Studies,University of Delhi",50,206,11581,University of Delhi,Financial Management,Corporate Governance
Dr. Arvind Tiwari,"BAG Energy Research Society, India",27,38,4791,BAG Energy Research Society,Renewable Energy,Energy Storage Systems
Ashutosh Sharma,"Chemical Engineering, IITK, IIT Kanpur, Indian Institute of Technology Kanpur",89,404,26549,Indian Institute of Technology Kanpur,Polymer Science,Nanomaterials
Ashutosh Tiwari,"Civil Engg. ,Kamla Nehru Institute of Technology",80,427,30736,Kamla Nehru Institute of Technology,Structural Engineering,Geotechnical Engineering
Atul Kumar,"Assistant Professor, Baba Mastnath University",75,527,25139,Baba Mastnath University,Data Science,Artificial Intelligence
Vipin Kumar,"Assistant Professor of Computer Science Engineering , Women Institute of Technology Dehradun",69,576,43697,Women Institute of Technology Dehradun,Artificial Intelligence,Data Science
Dhruba Kr Bhattacharyya,"Professor of Computer Science and Engg, Tezpur University",46,131,10275,Tezpur University,Data Mining,Network Security
Dheerendra Kumar Dwivedi,"IIT ROORKEE, INDIA, PIN: 247667",48,125,6558,IIT Roorkee,Fluid Mechanics,Heat Transfer
D P Kothari,"Vice chancellor, VIT Vellore, Director I/c, IIT Delhi, Deputy Director(A),IIT Delhi,Principal,VRCE",65,238,22843,VIT Vellore,Power Systems,Renewable Energy
Dr. Pardeep Singh,Ambala College of Engineering & Applied Research Associate Professor of Mathmatics,102,597,42879,Ambala College of Engineering & Applied Research,Applied Mathematics,Numerical Analysis
Dr. VINAY  SINGH,Associate Professor Computer Science,64,395,19070,Banaras Hindu University,Artificial Intelligence,Data Mining
Devendra Choudhary,"Prof. (Associate), Govt. Engineering College, Ajmer",11,11,1183,Govt. Engineering College Ajmer,Power Systems,Renewable Energy
Peter C. Gotzsche,Institute for Scientific Freedom,111,328,413024,Institute for Scientific Freedom,Pharmaceutical Industry Ethics,Clinical Trial Transparency
Dharmendra  Mishra,Purdue University,17,27,1388,Purdue University,Cybersecurity,Data Privacy
Rajeev Agrawal,"Kumaon engineering college, G. L. Bajaj, LLoyd Institute of Engg& tech",17,35,1269,Kumaon Engineering College,Wireless Sensor Networks,Internet of Things
Girish  M. Joshi,Institute of Chemical Technology Mumbai off campus Marathwada Region-Jalna,29,69,2945,Institute of Chemical Technology Mumbai,Polymer Science,Nanomaterials
Lipsa Das,Assistant Professor,11,11,319,Indian Institute of Technology Delhi,Wireless Communication,Signal Processing
Giriraj Ratan Chandak,Former Chief Scientist and Sir JC Bose Fellow,52,115,14396,CSIR-Centre for Cellular and Molecular Biology,Genetics,Genomics
Prof. GRK SASTRY,"Professor,Department of Mechanical Engineering,National Institute of Technology Andhra Pradesh",22,112,3308,National Institute of Technology Andhra Pradesh,Mechanical Engineering,Renewable Energy
G S Gupta,Indian Institute of Science,23,41,1588,Indian Institute of Science,Fluid Mechanics,Heat Transfer
Girja Shankar Pandey,University of Zambia,20,33,1238,University of Zambia,Environmental Chemistry,Water Quality Management
H C Verma,IIT Kanpur,36,108,4884,IIT Kanpur,Theoretical Physics,Condensed Matter Physics
H C Verma,IIT Kanpur,36,108,4884,IIT Kanpur,Theoretical Physics,Astrophysics
Himanshu Narayan Singh,Memorial Sloan Kettering Cancer Center,15,20,817,Memorial Sloan Kettering Cancer Center,Cancer Biology,Precision Medicine
HARI OM GUPTA,RETIRED from DIRECTOR JIIT NOIDA and IIT ROORKEE,35,97,5758,JIIT Noida,Signal Processing,Communication Systems
Dr. Ruchika Garg,"Assistant Professor, Maharaja Agrasen University, Baddi, Solan, H.P.",3,1,29,Maharaja Agrasen University,Biotechnology,Environmental Science
Harbhajan Singh,Data Scientist,1,0,7,Data Scientist,Artificial Intelligence,Data Analytics
HARI OM GUPTA,RETIRED from DIRECTOR JIIT NOIDA and IIT ROORKEE,35,97,5758,RETIRED,Power Systems,Renewable Energy
Dr. Harsh Kumar Goyal,Administrative Officer Ministry Of Education,70,470,26336,Ministry Of Education,Educational Policy,Administrative Efficiency
Inderpreet Singh Ahuja,Professor in Mechanical Engineering,43,128,8841,Indian Institute of Technology Ropar,Sustainable Manufacturing,Additive Manufacturing
Dr.Inderjit Singh-PBG,"PAU, Ludhiana",22,52,1924,Punjab Agricultural University (PAU),Plant Breeding,Genetics
Kaushal Shetty,JP Morgan Chase,1,1,13,JP Morgan Chase,Financial Technology,Risk Management
Jay S. Yadav,"Founder and CEO, MiRus , LLC",56,143,21961,MiRus,LLC,Medical Devices
Jagdish Narain Sharma,"Professor Pediatrics, Department of Pediatrics, MAHATMA GANDHI MEDICAL COLLEGE & HOSPITAL JAIPUR",9,9,330,Mahatma Gandhi Medical College & Hospital Jaipur,Pediatrics,Child Health
JAY SHANKAR KUMAR,Research scholar,90,778,37615,Research Scholar,Artificial Intelligence,Data Science
Nathan H. Lents,Professor of Biology at John Jay College (CUNY),19,29,3076,John Jay College (CUNY),Evolutionary Biology,Human Behavior
Jitendra Kumar,Engineer at Coforge,83,778,35780,Coforge,Software Engineering,Artificial Intelligence
Joseph A Maxwell,George Mason University,53,80,85653,George Mason University,Qualitative Research,Mixed Methods Research
"Kapil Chandra Agarwal, Dr.","Former Professor at Dr. A. P. J. Abdul Kalam Technical University, Lucknow",7,5,250,Dr. A. P. J. Abdul Kalam Technical University,Power Systems,Renewable Energy
K.C Jain,"Professor in Dept.of mathematics, Malaviya national Institute of technology, Jaipur",11,14,476,Malaviya National Institute of Technology,Mathematics,Applied Mathematics
Siddharth Paliwal,BITS Pilani K.K. Birla Goa Campus,2,0,6,BITS Pilani,Operations Research,Supply Chain Management
Dr.K.K.Tripathi,"Associate Professor at the Institute of Technology, Nirma University, Ahmedabad, India",10,10,603,Nirma University,Renewable Energy Systems,Power Electronics
K L Narsimhan,visiting Professor EE IIT Bombay,34,106,4464,Indian Institute of Technology Bombay,Signal Processing,Communication Systems
Krishna Mohan Agarwal,"DNC Meerut, KNIT Sultanpur, IIT Delhi, AUUP Noida, KU Kurukshetra, IMI New Delhi",13,16,607,IIT Delhi,Fluid Mechanics,Heat Transfer
"Kunwar P. Singh, Ph.D., FAEB, FIC","Ex-Chief Scientist, CSIR-Indian Institute of Toxicology Research",71,385,29632,CSIR-Indian Institute of Toxicology Research,Toxicology,Environmental Health
Munish Chauhan,"Hoglund Biomedical Imaging Center, University of Kansas Medical Center",11,15,429,University of Kansas Medical Center,Biomedical Imaging,Neuroimaging
Jagadeesh K S,"Professor of Microbiology, University of Agricultural sciences Dharwad",16,24,1063,University of Agricultural Sciences Dharwad,Microbiology,Agricultural Sciences
Reddy K S,"Professor, Department of Mechanical Engineering, IIT Madras",56,166,11185,Indian Institute of Technology Madras,Fluid Mechanics,Heat Transfer
Lalit Mohan Patnaik,"Adjunct Professor and NASI(National Academy of Sciences India)Senior Scientist, NIAS,Bangalore,India",42,204,16771,NIAS (National Institute of Advanced Studies),Evolutionary Algorithms,Artificial Intelligence
Dr. LN Sharma,Indian Institute of Technology Guwahati,22,45,1924,Indian Institute of Technology Guwahati,Signal Processing,Biomedical Engineering
Michel Foucault,"Philosophy, Collège de France",309,1511,1403631,Collège de France,Power and Knowledge,History of Sexuality
Mahendra Chandra Joshi,National Institute of Technology Rourkela,6,5,141,National Institute of Technology Rourkela,Structural Engineering,Material Science
VARSHA TIWARI,IIT (ISM) DHANBAD,0,0,0,IIT (ISM) Dhanbad,Environmental Engineering,Water Resource Management
Manoj K Agarwal,"Professor of Marketing, Director MS Data Analytics Program, Binghamton University, State University",17,20,3284,Binghamton University,Data Analytics,Marketing Strategy
Mandeep Kumar Singh,"Amity University Gwalior and Doctor Harisingh Gour University, CSIR-SRF",4,2,121,Amity University Gwalior,Computer Science,Data Science
Manoj Kumar Gupta,"Joslin Diabetes Center, Harvard Medical School",68,412,23000,Joslin Diabetes Center,Diabetes Research,Metabolic Disorders
Dr. M.K. Jha,Purdue University,193,782,207269,Purdue University,Transportation Engineering,Infrastructure Systems
Meetu Kaushik Tiwari,Associate Research Scientist,10,10,670,University of California,San Diego,Neuroscience
Manoj Kumar Mishra,University of Calgary,30,41,3512,University of Calgary,International Relations,Security Studies
Manoj Kumar Mohanty,"AIIMS, Bhubaneswar",21,32,1694,AIIMS Bhubaneswar,Neuroscience,Neuropharmacology
Manish K. Pandey,"Principal Scientist- Genomics, Prebreeding & Bioinformatics, ICRISAT, India",63,172,12982,ICRISAT,Genomics,Bioinformatics
Manish Kumar Singh,student,66,448,21999,Indian Institute of Technology (BHU) Varanasi,Materials Science,Nanotechnology
M L Kansal,"Professor (HAG) and Ex-NEEPCO Chair & Head, WRD&M, IIT Roorkee",23,50,2877,Indian Institute of Technology Roorkee,Water Resources Development & Management,Hydropower Engineering
Murari Lal Mittal,Malaviya National Institute of Technology Jaipur,23,31,2770,Malaviya National Institute of Technology Jaipur,Structural Engineering,Concrete Technology
Dr. M. L. Munjal,"Department of Mechanical Engineering, Indian Institute of Science",39,109,8077,Indian Institute of Science,Acoustics,Noise Control
Dr.M.L. Sharma,Professor,21,45,3870,University of Delhi,Environmental Chemistry,Analytical Chemistry
Chaturvedi m.m.,"Former Senior Professor of Molecular Biology, Dept. of Zoology, university of Delhi, India",37,55,13576,University of Delhi,Molecular Biology,Zoology
Madan M. Gupta,University of Saskatchewan,79,378,47944,University of Saskatchewan,Fuzzy Systems,Neural Networks
Rajesh Pandey,"Professor and Head, Department of Biochemistry, MM Institute of Medical Sciences and Research",29,37,4830,MM Institute of Medical Sciences and Research,Biochemistry,Medical Research
Bhaskar Das,University of Minnesota,19,34,1721,University of Minnesota,Marketing,Consumer Behavior
Munishwar Nath Gupta,"Dept of Biochem. Engg & Biotechnology,IIT Delhi",63,272,16811,Indian Institute of Technology Delhi,Biochemical Engineering,Biotechnology
Jani Scandura,University of Minnesota,5,3,202,University of Minnesota,Modernist Literature,Cultural Studies
M.N.Jha,Rajendra agricultural university pusa,12,13,462,Rajendra Agricultural University Pusa,Agricultural Sciences,Crop Improvement
Ajay J Joshi,"University of Minnesota, Twin Cities",11,12,1686,University of Minnesota,Twin Cities,Computer Architecture
